HJD,Detr_Norm_Flux
2454960.894769,1.000135
2454960.915204,0.999905
2454960.935638,1.000008
2454960.956073,0.999930
2454960.976507,0.999868
2454960.996942,0.999965
2454961.017376,1.000007
2454961.037810,0.999820
2454961.058245,0.999891
2454961.078680,1.000018
2454961.099114,0.999904
2454961.119548,1.000048
2454961.139982,0.999883
2454961.160417,1.000036
2454961.180851,0.999988
2454961.201286,0.999932
2454961.221721,1.000000
2454961.242155,1.000097
2454961.262590,0.999967
2454961.283023,1.000131
2454961.303458,0.999782
2454961.323893,0.999866
2454961.344327,0.999938
2454961.364762,1.000012
2454961.385196,0.999971
2454961.405630,1.000065
2454961.426065,0.999947
2454961.446499,1.000022
2454961.466934,0.999907
2454961.487368,0.999897
2454961.507803,0.999991
2454961.528237,0.999914
2454961.548671,0.999820
2454961.569106,1.000122
2454961.589541,0.999918
2454961.609975,0.999811
2454961.630409,1.000007
2454961.650843,0.999931
2454961.671278,0.999811
2454961.691713,1.000080
2454961.712147,0.999922
2454961.732581,1.000026
2454961.753016,1.000080
2454961.814319,0.999948
2454961.834754,1.000008
2454961.855188,0.999958
2454961.875622,1.000052
2454961.896057,1.000023
2454961.916491,0.999963
2454961.936926,0.999970
2454961.957360,0.999897
2454961.977794,0.999829
2454961.998229,1.000236
2454962.018664,0.999938
2454962.039098,1.000088
2454962.059532,0.999987
2454962.079967,0.999985
2454962.100401,1.000248
2454962.120836,1.000046
2454962.141271,0.999977
2454962.161704,0.999863
2454962.182139,0.999881
2454962.202573,1.000047
2454962.223007,0.999930
2454962.243443,0.999962
2454962.263877,0.999912
2454962.284311,0.999183
2454962.304745,0.994784
2454962.325180,0.993298
2454962.345614,0.992908
2454962.366049,0.992452
2454962.386484,0.992506
2454962.406917,0.992610
2454962.427352,0.992744
2454962.447786,0.993249
2454962.468221,0.993927
2454962.488656,0.997820
2454962.509090,0.999852
2454962.529524,0.999901
2454962.549958,1.000128
2454962.570393,1.000051
2454962.590828,1.000045
2454962.611262,1.000044
2454962.631697,0.999857
2454962.652130,0.999948
2454962.672565,1.000013
2454962.693000,1.000003
