ANO;MES;DIA;HORA;TempAr
2009;1;13;2100;32
2009;1;13;1800;36
2009;1;13;1500;35
2009;1;13;0;35
2009;1;14;900;27
2009;1;14;600;24
2009;1;14;300;26,5
2009;1;14;1200;28
2009;1;14;2100;31
2009;1;14;1800;35
2009;1;14;1500;34,5
2009;1;14;0;0,5
2009;1;15;900;25,5
2009;1;15;600;27,5
2009;1;15;300;29,5
2009;1;15;1200;32
2009;1;15;2100;28,5
2009;1;15;1800;33,5
2009;1;15;1500;33,5
2009;1;15;0;30
2009;1;15;900;24
2009;1;16;600;24
2009;1;16;300;25
2009;1;16;1200;28
2009;1;16;2100;33,5
2009;1;16;1800;31
2009;1;16;1500;28
2009;1;16;0;28
2009;1;16;900;22,5
2009;1;17;600;22,5
2009;1;17;300;22,5
2009;1;17;1200;23
2009;1;17;2100;23
2009;1;17;1800;30
2009;1;17;1500;28
2009;1;17;0;23,5
2009;1;17;900;22,5
2009;1;17;600;22
2009;1;18;300;22,5
2009;1;18;1200;29
2009;1;18;2100;26
2009;1;18;1800;32
2009;1;18;1500;30
2009;1;18;0;23,5
2009;1;18;900;22,5
2009;1;18;600;22,5
2009;1;19;300;22,5
2009;1;19;1200;22,5
2009;1;19;2100;28,5
2009;1;19;1800;28,5
2009;1;19;1500;28,5
2009;1;19;0;22,5
2009;1;19;900;22
2009;1;19;600;22,5
2009;1;20;300;24
2009;1;20;1200;24
2009;1;20;2100;26,5
2009;1;20;1800;31,5
2009;1;20;1500;27
2009;1;20;0;21,5
2009;1;20;900;20,5
2009;1;20;600;21,5
2009;1;20;300;22,5
2009;1;21;1200;26,5
2009;1;21;2100;31,5
2009;1;21;1800;31,5
2009;1;21;1500;29,5
2009;1;21;0;29,5
2009;1;21;900;20
2009;1;21;600;20
2009;1;21;300;23
2009;1;22;1200;22,5
2009;1;22;2100;35
2009;1;22;1800;33
2009;1;22;1500;30,5
2009;1;22;0;24
2009;1;22;900;22
2009;1;22;600;24
2009;1;22;300;25
2009;1;22;1200;25
2009;1;23;2100;35,5
2009;1;23;1800;33,5
2009;1;23;1500;31
2009;1;23;0;24,5
2009;1;23;900;23,5
2009;1;23;600;24,5
2009;1;23;300;26,5
2009;1;23;1200;26,5
2009;1;24;2100;31
2009;1;24;1800;31
2009;1;24;1500;29,5
2009;1;24;0;25,5
2009;1;24;900;25,5
2009;1;24;600;25,5
2009;1;24;300;26,5
2009;1;24;1200;30
2009;1;25;2100;28
2009;1;25;1800;32
2009;1;25;1500;32
2009;1;25;0;25
2009;1;25;900;24,5
2009;1;25;600;25
2009;1;25;300;25,5
2009;1;25;1200;26,5
2009;1;25;2100;25,5
2009;1;26;1800;29,5
2009;1;26;1500;28
2009;1;26;0;24,5
2009;1;26;900;24
2009;1;26;600;24,5
2009;1;26;300;25
2009;1;26;1200;25,5
2009;1;26;2100;32
2009;1;27;1800;30
2009;1;27;1500;28,5
2009;1;27;0;23,5
2009;1;27;900;23
2009;1;27;600;23,5
2009;1;27;300;25
2009;1;27;1200;25
2009;1;27;2100;30
2009;1;28;1800;31,5
2009;1;28;1500;28,5
2009;1;28;0;24
2009;1;28;900;23,5
2009;1;28;600;24,5
2009;1;28;300;25,5
2009;1;28;1200;27
