,HJD,Detr_Norm_Flux
515,2454965.369912,0.9999819999999999
516,2454965.390346,1.000002
517,2454965.4107810003,0.9999120000000001
518,2454965.4312150003,
519,2454965.45165,0.9998959999999999
520,2454965.4720840002,1.000053
521,2454965.492519,0.999697
522,2454965.5129529997,0.9998299999999999
523,2454965.5333869997,0.999951
524,2454965.553822,0.999927
525,2454965.574256,
526,2454965.594691,1.000043
527,2454965.615125,
528,2454965.63556,
529,2454965.655994,0.999925
530,2454965.676429,
531,2454965.6968630003,
532,2454965.7172970003,
533,2454965.737732,0.99998
534,2454965.758166,0.999885
535,2454965.7786009996,0.9999049999999999
536,2454965.7990349997,0.9999389999999999
537,2454965.81947,
538,2454965.839904,0.9998870000000001
539,2454965.860338,1.000056
540,2454965.880773,0.9999870000000001
541,2454965.901207,0.9999299999999999
542,2454965.921642,
543,2454965.942076,
544,2454965.962511,1.000076
545,2454965.9829450003,0.99985
546,2454966.00338,1.000006
547,2454966.0238139997,
548,2454966.044248,0.999891
549,2454966.064683,0.9999889999999999
550,2454966.0851169997,1.0000149999999999
551,2454966.105552,1.0000149999999999
552,2454966.125986,0.9999600000000001
553,2454966.146421,1.0000229999999999
554,2454966.166855,0.999935
555,2454966.187289,0.9998959999999999
556,2454966.2077240003,1.000014
557,2454966.2281580004,1.000139
558,2454966.248593,1.000041
559,2454966.269027,0.999808
560,2454966.2894619997,0.999976
561,2454966.3098959997,
562,2454966.33033,
563,2454966.350765,
564,2454966.371199,0.9999629999999999
565,2454966.391634,0.999969
566,2454966.412068,0.999957
567,2454966.432503,0.9999879999999999
568,2454966.452937,0.999957
569,2454966.473371,0.9999299999999999
570,2454966.4938060003,
571,2454966.51424,1.00004
572,2454966.534675,
573,2454966.555109,0.9999
574,2454966.5755439997,
575,2454966.5959779997,0.9999040000000001
576,2454966.616413,1.0001229999999999
577,2454966.636847,
578,2454966.657282,0.999868
579,2454966.677716,1.000042
580,2454966.69815,
581,2454966.718585,0.9998309999999999
582,2454966.739019,0.9998670000000001
583,2454966.7594540003,0.999916
584,2454966.7798880003,1.0001010000000001
585,2454966.800322,0.999985
586,2454966.820757,0.99997
587,2454966.841191,0.9999020000000001
588,2454966.8616259997,0.999983
589,2454966.8820599997,1.000118
590,2454966.902495,1.000092
591,2454966.922929,
592,2454966.943364,0.9999809999999999
593,2454966.963798,0.999822
594,2454966.984232,1.000046
595,2454967.004667,0.9997950000000001
596,2454967.025101,1.000168
597,2454967.0455360003,1.00001
598,2454967.06597,0.9997969999999999
599,2454967.0864049997,1.000137
600,2454967.106839,0.9999620000000001
601,2454967.127273,0.9999030000000001
602,2454967.147708,
603,2454967.1681419997,
604,2454967.188577,0.994977
605,2454967.209011,0.993367
606,2454967.229446,0.992914
607,2454967.24988,0.9925889999999999
608,2454967.270314,0.992481
609,2454967.2907490004,0.992468
610,2454967.311183,0.992798
611,2454967.331618,0.992993
612,2454967.352052,0.993764
613,2454967.3724869997,
614,2454967.413356,1.000033
615,2454967.43379,
616,2454967.454224,1.000117
617,2454967.474659,1.0000719999999998
618,2454967.495093,0.999859
619,2454967.515528,0.999973
620,2454967.535962,
621,2454967.556396,
622,2454967.576831,0.9999389999999999
623,2454967.597265,0.9999319999999999
624,2454967.6177,1.000142
625,2454967.638134,0.999921
626,2454967.6585689997,0.999941
627,2454967.679003,0.9999110000000001
628,2454967.699438,
629,2454967.719872,
630,2454967.740307,
631,2454967.760741,0.999822
632,2454967.781175,0.999941
633,2454967.80161,1.000111
634,2454967.822044,0.9999030000000001
635,2454967.842479,0.9999790000000001
636,2454967.862913,1.000089
637,2454967.883348,0.9999950000000001
638,2454967.903782,0.9999309999999999
639,2454967.924216,
640,2454967.9446509997,0.9999100000000001
641,2454967.965085,0.999807
642,2454967.98552,0.99984
643,2454968.005954,1.0000149999999999
644,2454968.026389,0.9999100000000001
645,2454968.046823,0.9999790000000001
646,2454968.067257,0.999876
647,2454968.087692,1.000011
648,2454968.108126,1.000118
649,2454968.128561,0.999827
650,2454968.148995,1.000067
651,2454968.16943,0.999907
652,2454968.189864,1.000077
653,2454968.210298,0.999966
654,2454968.230733,
655,2454968.251167,
656,2454968.271602,1.000039
657,2454968.292036,1.000066
658,2454968.312471,0.999992
659,2454968.332905,1.00001
660,2454968.353339,0.9999629999999999
661,2454968.373774,0.9999620000000001
662,2454968.394208,0.9999450000000001
663,2454968.414643,0.9999889999999999
664,2454968.435077,0.999991
665,2454968.455512,0.999811
666,2454968.475946,0.9998469999999999
667,2454968.496381,0.999925
668,2454968.516815,1.0000950000000002
669,2454968.5372490003,1.0001440000000001
670,2454968.557684,0.999936
671,2454968.578118,
672,2454968.598553,0.9998739999999999
673,2454968.618987,
674,2454968.639422,1.000017
